SpecName,AverageFruitLength_cm,armature,armature_leaf,armature_stem,Fruit_size_binary
Astrocaryum_chambira,7,1,1,1,1
Astrocaryum_chonta,5.4,1,1,0,1
Astrocaryum_ciliatum,4.9,1,1,NA,1
Astrocaryum_confertum,3,1,1,1,0
Astrocaryum_echinatum,4.2,1,1,NA,1
Astrocaryum_faranae,6.1,1,1,NA,1
Astrocaryum_farinosum,6.2,1,1,NA,1
Astrocaryum_ferrugineum,5.3,1,1,NA,1
Astrocaryum_giganteum,4,1,1,1,1
Astrocaryum_gratum,5.35,1,1,1,1
Astrocaryum_huaimi,3.55,1,1,1,0
Astrocaryum_huicungo,5,1,1,1,1
Astrocaryum_jauari,3.5,1,1,1,0
Astrocaryum_javarense,5.1,1,1,1,1
Astrocaryum_macrocalyx,8,1,1,NA,1
Astrocaryum_malybo,NA,1,1,NA,NA
Astrocaryum_mexicanum,3.5,1,1,1,0
Astrocaryum_minus,1.2,1,1,1,0
Astrocaryum_murumuru,7.25,1,1,1,1
Astrocaryum_paramaca,3.75,1,1,NA,0
Astrocaryum_perangustatum,8,1,1,1,1
Astrocaryum_rodriguesii,4,1,1,1,1
Astrocaryum_sciophilum,6.75,1,1,1,1
Astrocaryum_scopatum,NA,1,1,NA,NA
Astrocaryum_sociale,5,1,1,0,1
Astrocaryum_standleyanum,5.5,1,1,1,1
Astrocaryum_triandrum,5,1,1,1,1
Astrocaryum_tucuma,NA,1,1,NA,NA
Astrocaryum_ulei,4.65,1,1,NA,1
Astrocaryum_urostachys,7.5,1,1,1,1
Astrocaryum_vulgare,4.25,1,1,1,1
Attalea_allenii,7,0,0,0,1
Attalea_amygdalina,7.5,0,0,0,1
Attalea_amylacea,NA,0,0,0,NA
Attalea_anisitsiana,NA,0,0,0,NA
Attalea_apoda,6,0,0,0,1
Attalea_attaleoides,5,0,0,0,1
Attalea_barreirensis,5.25,0,0,0,1
Attalea_bassleriana,9.05,0,0,0,1
Attalea_blepharopus,NA,0,0,0,NA
Attalea_brasiliensis,6,0,0,0,1
Attalea_brejinhoensis,9,0,0,0,1
Attalea_burretiana,7.27,0,0,0,1
Attalea_butyracea,8.25,0,0,0,1
Attalea_camopiensis,NA,0,0,0,NA
Attalea_cephalotus,NA,0,0,0,NA
Attalea_cohune,6,0,0,0,1
Attalea_colenda,5,0,0,0,1
Attalea_compta,8.75,0,0,0,1
Attalea_crassispatha,3.75,0,0,0,0
Attalea_cuatrecasana,12.5,0,0,0,1
Attalea_dahlgreniana,7.5,0,0,0,1
Attalea_degranvillei,NA,0,0,0,NA
Attalea_dubia,6.25,0,0,0,1
Attalea_eichleri,7.5,0,0,0,1
Attalea_exigua,5,0,0,0,1
Attalea_fairchildensis,NA,0,0,0,NA
Attalea_funifera,12.5,0,0,0,1
Attalea_geraensis,6,0,0,0,1
Attalea_guacuyule,NA,0,0,0,NA
Attalea_guianensis,NA,0,0,0,NA
Attalea_hoehnei,NA,0,0,0,NA
Attalea_huebneri,NA,0,0,0,NA
Attalea_humilis,6.5,0,0,0,1
Attalea_iguadummat,8.5,0,0,0,1
Attalea_insignis,7.5,0,0,0,1
Attalea_kewensis,NA,0,0,0,NA
Attalea_lauromuelleriana,NA,0,0,0,NA
Attalea_luetzelburgii,5.25,0,0,0,1
Attalea_macrolepis,NA,0,0,0,NA
Attalea_magdalenica,NA,0,0,0,NA
Attalea_maracaibensis,NA,0,0,0,NA
Attalea_maripa,5,0,0,0,1
Attalea_maripensis,NA,0,0,0,NA
Attalea_microcarpa,3.75,0,0,0,0
Attalea_minarum,NA,0,0,0,NA
Attalea_moorei,NA,0,0,0,NA
Attalea_nucifera,6.75,0,0,0,1
Attalea_oleifera,9,0,0,0,1
Attalea_osmantha,NA,0,0,0,NA
Attalea_peruviana,NA,0,0,0,NA
Attalea_phalerata,8.5,0,0,0,1
Attalea_piassabossu,8,0,0,0,1
Attalea_pindobassu,7.4,0,0,0,1
Attalea_plowmanii,11,0,0,0,1
Attalea_princeps,7,0,0,0,1
Attalea_racemosa,7.5,0,0,0,1
Attalea_rostrata,NA,0,0,0,NA
Attalea_salazarii,NA,0,0,0,NA
Attalea_salvadorensis,9,0,0,0,1
Attalea_seabrensis,7.5,0,0,0,1
Attalea_septuagenata,10.75,0,0,0,1
Attalea_speciosa,9.55,0,0,0,1
Attalea_spectabilis,5.5,0,0,0,1
Attalea_teixeirana,NA,0,0,0,NA
Attalea_tessmannii,12.5,0,0,0,1
Attalea_vitrivir,12,0,0,0,1
Attalea_voeksii,NA,0,0,0,NA
Attalea_weberbaueri,NA,0,0,0,NA
Attalea_wesselsboeri,NA,0,0,0,NA
Bactris_acanthocarpa,1.4,1,1,0,0
Bactris_acanthocarpoides,1.6,1,1,1,0
Bactris_ana-juliae,1.1,1,1,1,0
Bactris_aubletiana,0.6,1,1,0,0
Bactris_bahiensis,1.5,1,1,0,0
Bactris_balanophora,1.5,1,1,0,0
Bactris_barronis,1.3,1,1,0,0
Bactris_bidentula,2,1,1,1,0
Bactris_bifida,2.5,1,1,1,0
Bactris_brongniartii,1.5,1,1,1,0
Bactris_campestris,0.65,1,1,1,0
Bactris_caryotifolia,1.4,1,1,1,0
Bactris_caudata,1.1,1,1,1,0
Bactris_charnleyae,0.65,0,0,0,0
Bactris_chaveziae,2.75,1,1,0,0
Bactris_coloniata,2.25,1,1,1,0
Bactris_coloradonis,2,1,1,1,0
Bactris_concinna,3.25,1,1,0,0
Bactris_constanciae,2,1,1,1,0
Bactris_corossilla,2.25,1,1,1,0
Bactris_cubensis,1.25,1,1,1,0
Bactris_cuspidata,1,1,1,0,0
Bactris_dianeura,1.5,1,1,1,0
Bactris_elegans,1.35,1,1,1,0
Bactris_faucium,2,1,1,0,0
Bactris_ferruginea,1.65,1,1,1,0
Bactris_fissifrons,2.75,1,1,0,0
Bactris_gasipaes,5,1,1,1,1
Bactris_gastoniana,2.75,1,1,0,0
Bactris_glandulosa,1.05,1,1,1,0
Bactris_glassmanii,1.3,1,1,1,0
Bactris_glaucescens,1.6,1,1,1,0
Bactris_gracilior,1.15,1,1,1,0
Bactris_grayumii,1.15,1,1,0,0
Bactris_guineensis,1.75,1,1,1,0
Bactris_halmoorei,1.5,1,1,1,0
Bactris_hatschbachii,2.05,1,1,0,0
Bactris_herrerana,1.2,1,1,1,0
Bactris_hirta,0.75,1,1,0,0
Bactris_horridispatha,3.25,1,1,1,0
Bactris_jamaicana,1.1,1,1,1,0
Bactris_killipii,1.45,0,0,0,0
Bactris_kunorum,1.65,1,1,1,0
Bactris_longiseta,1.55,1,1,1,0
Bactris_macroacantha,2.85,1,1,1,0
Bactris_major,3.5,1,1,1,0
Bactris_maraja,1.5,1,1,1,0
Bactris_martiana,4.5,1,1,1,1
Bactris_mexicana,1.2,1,1,1,0
Bactris_militaris,1.6,1,1,1,0
Bactris_moorei,NA,NA,NA,NA,NA
Bactris_nancibaensis,2,NA,NA,NA,0
Bactris_obovata,NA,NA,NA,NA,NA
Bactris_oligocarpa,1.85,1,1,0,0
Bactris_oligoclada,1.25,1,1,0,0
Bactris_panamensis,0.85,1,1,0,0
Bactris_pickelii,1.35,1,1,0,0
Bactris_pilosa,2.25,1,1,0,0
Bactris_pliniana,2,1,1,1,0
Bactris_plumeriana,1.6,1,1,1,0
Bactris_polystachya,NA,NA,NA,NA,NA
Bactris_ptariana,0.85,1,1,1,0
Bactris_rhaphidacantha,1.25,1,1,0,0
Bactris_riparia,1,1,1,1,0
Bactris_rostrata,4,1,1,1,1
Bactris_schultesii,0.85,0,0,0,0
Bactris_setiflora,2.5,1,1,1,0
Bactris_setosa,1.25,1,1,1,0
Bactris_setulosa,1.9,1,1,1,0
Bactris_simplicifrons,0.5,1,0,1,0
Bactris_soeiroana,1,1,1,0,0
Bactris_sphaerocarpa,2.1,1,1,0,0
Bactris_syagroides,0.7,1,1,0,0
Bactris_tefensis,1,1,1,NA,0
Bactris_timbuiensis,1.4,1,1,1,0
Bactris_tomentosa,1.5,1,1,NA,0
Bactris_turbinocarpa,3,1,1,1,0
Bactris_vulgaris,1.7,1,1,1,0
Balaka_diffusa,4.1,0,0,0,1
Balaka_longirostris,3.5,0,0,0,0
Balaka_macrocarpa,4,0,0,0,1
Balaka_microcarpa,1.7,0,0,0,0
Balaka_pauciflora,1.5,0,0,0,0
Balaka_samoensis,3.5,0,0,0,0
Balaka_seemannii,1.95,0,0,0,0
Balaka_streptostachys,2.15,0,0,0,0
Balaka_tahitensis,2.05,0,0,0,0
Barcella_odora,3.5,0,0,0,0
Basselinia_deplanchei,0.6,0,0,0,0
Basselinia_eriostachys,0.63,0,0,0,0
Basselinia_favieri,0.8,0,0,0,0
Basselinia_glabrata,1.2,0,0,0,0
Basselinia_gracilis,0.4,0,0,0,0
Basselinia_humboldtiana,1,0,0,0,0
Basselinia_iterata,0.9,0,0,0,0
Basselinia_moorei,1.3,0,0,0,0
Basselinia_pancheri,0.7,0,0,0,0
Basselinia_porphyrea,1,0,0,0,0
Basselinia_sordida,0.7,0,0,0,0
Basselinia_tomentosa,0.75,0,0,0,0
Basselinia_velutina,1.1,0,0,0,0
Basselinia_vestita,0.7,0,0,0,0
Beccariophoenix_alfredii,2.4,0,0,0,0
Beccariophoenix_madagascariensis,3.5,0,0,0,0
Bentinckia_condapanna,1.5,0,0,0,0
Bentinckia_nicobarica,1.5,0,0,0,0
Bismarckia_nobilis,4.4,0,0,0,1
Borassodendron_borneense,9,0,0,0,1
Borassodendron_machadonis,12,0,0,0,1
Borassus_aethiopum,12,1,1,0,1
Borassus_akeassii,15,0,0,0,1
Borassus_flabellifer,20,0,0,0,1
Borassus_heineanus,13.5,0,0,0,1
Borassus_madagascariensis,30,1,1,0,1
